date,cases,agents
2013-11-21,0.9339449541284404,
2013-11-22,0.9651376146788991,
2013-11-23,0.9064220183486238,
2013-11-24,0.8477064220183487,
2013-11-25,0.9798165137614679,
2013-11-26,1.0201834862385322,
2013-11-27,1.0678899082568807,
2013-11-28,1.0018348623853213,
2013-11-29,1.0917431192660552,
2013-11-30,1.038532110091743,
2013-12-01,1.0348623853211008,
2013-12-02,1.0055045871559634,
2013-12-03,1.0366972477064218,
2013-12-04,1.1009174311926604,
2013-12-05,1.1431192660550458,
2013-12-06,1.1761467889908257,
2013-12-07,1.0990825688073393,
2013-12-08,1.1135751146788988,
2013-12-09,1.1316744040249505,
2013-12-10,1.1516122308119479,
2013-12-11,1.1593933945336503,
2013-12-12,1.0594725291885065,
2013-12-13,1.2211295594748581,
2013-12-14,1.1919166322064332,
2013-12-15,1.1986077504265282,
2013-12-16,1.19542841952354,
2013-12-17,1.2286249022159816,
2013-12-18,1.2767087018847045,
2013-12-19,0.9565695698870933,
2013-12-20,0.7217275449992423,
2013-12-21,0.6077976968243619,
2013-12-22,0.5282863943220484,
2013-12-23,0.5267087185987585,
2013-12-24,0.6002335339638311,
2013-12-25,0.7554050179292955,
2013-12-26,0.8403975155759357,
2013-12-27,0.8830799242657383,
2013-12-28,0.8324969121202971,
2013-12-29,0.7861111389382641,
2013-12-30,0.7220831560180222,
2013-12-31,0.7246490869654107,
2014-01-01,0.713788129725673,
2014-01-02,0.712845448372166,
2014-01-03,0.6940863576255301,
2014-01-04,0.7040018770201805,
2014-01-05,0.6993457799499413,
2014-01-06,0.7034626440793039,
2014-01-07,0.7250601813975281,
2014-01-08,0.7312034789967017,
2014-01-09,0.749383674785964,
2014-01-10,0.764492216616326,
2014-01-11,0.8218936288313314,
2014-01-12,0.7339716745386691,
2014-01-13,0.7139079853529934,
2014-01-14,0.7302570231855048,
2014-01-15,0.7615853612549558,
2014-01-16,0.8062908849304462,
2014-01-17,0.8292496762301605,
2014-01-18,0.8630043906151703,
2014-01-19,0.8869364451448346,
2014-01-20,0.922319548009655,
2014-01-21,0.9931651403891402,
2014-01-22,1.0455363809898777,
2014-01-23,1.0772597382716311,
2014-01-24,1.1015324615423931,
2014-01-25,1.1389429979721346,
2014-01-26,1.165920460749808,
2014-01-27,1.1489365296051053,
2014-01-28,1.20909129827182,
2014-01-29,1.252006575833937,
2014-01-30,1.2706333307265671,
2014-01-31,1.3203495080567331,
2014-02-01,1.3824291791176646,
2014-02-02,1.389083865033556,
2014-02-03,1.3683654548955348,
2014-02-04,1.3968488949116322,
2014-02-05,1.4198671849434532,
2014-02-06,1.5077351963886174,
2014-02-07,2.0618278810614346,
2014-02-08,2.2166458980733075,
2014-02-09,2.0005500588721645,
2014-02-10,1.9793821604504276,
2014-02-11,2.106614510796163,
2014-02-12,2.2163473320407983,
2014-02-13,2.3303673590758747,
2014-02-14,2.4410482492700787,
2014-02-15,2.5660454315186163,
2014-02-16,2.6663988164500827,
2014-02-17,2.8088427738963335,
2014-02-18,2.91903402462208,
2014-02-19,3.1055141018217154,
2014-02-20,3.205297335452217,
2014-02-21,2.5719840526448534,
2014-02-22,2.2412024063610807,
2014-02-23,2.2632413072544053,
2014-02-24,2.4360245677108914,
